Insurer,Link,1st Time Stamp,,2nd Time Stamp,,3rd Time Stamp,,4th Time Stamp,,5th Time Stamp,,6th Time Stamp,,7th Time Stamp,,8th Time Stamp,,9th Time Stamp,,FRT (First Response Time) (in Hrs),"FRT less than 1 day
(10)","FRT >1 Day <3 days
(5)","FRT more than 3 days
(-10)",Points,Marks,Score Methodology
,,Customer,Insurer,Customer,Insurer,Customer,Insurer,Customer,Insurer,Customer,Insurer,Customer,Insurer,Customer,Insurer,Customer,Insurer,Customer,Insurer,,,,,,,
HDFC ERGO General Insurance Company Limited,https://x.com/hiren281086/status/2044708378258346486,16/04/2026 09:24,NA,16/04/2026 09:36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/rajanyadav325/status/2043327614891483380,12/04/2026 13:57,13/04/2026 18:45,NA,14/04/2026 04:04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.7981,FALSE,TRUE,FALSE,5,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/mohitofmid/status/2044417169342312643,15/04/2026 14:06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/imrahul_neela/status/2046527923814072502,21/04/2026 09:54,21/04/2026 10:29,21/04/2026 11:28,NA,21/04/2026 11:33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5872,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/SmitKoli0323/status/2042933613436768527,11/04/2026 11:51,11/04/2026 14:43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8656,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/AYUSHPATNI94760/status/2041818948199682401,08/04/2026 10:02,08/04/2026 10:08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.105,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/mangeshpatil000/status/2042490686646468641,10/04/2026 06:31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/Thesiddhant20/status/2047991103253823673,25/04/2026 10:48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/eskay_b/status/2045386259200405628,18/04/2026 06:17,18/04/2026 13:01,18/04/2026 16:49,NA,18/04/2026 16:52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7275,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/kumarrajendry/status/2042959104701010088,11/04/2026 13:33,11/04/2026 15:44,15/04/2026 07:11,16/04/2026 16:49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1842,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
